informal_text_inp,normal_text_inp,normal_text_out
<Yun ah ü wana look after joan's guinea pigs? Fri-mon. She goin genting...>,"<Faint, you want to look after Joan's guinea pigs? Friday to Monday. She is going to Genting.","Faint, you want to look after Joan's guinea pigs? Friday to Monday. She is going to Genting.>"
<Ok....But do u think its a turn off?I'm open.U can b plain honest.Cuz thats wats important.>,<Okay. But do you think it's a turn off? I'm open. You can be plain honest. Because that's what's important.,Okay. But do you think it's a turn off? I'm open. You can be plain honest. Because that's what's important.>
<Yup... I dont mind... Why?>,<Yup. I don't mind. Why?,Yup. I don't mind. Why?>
<lemme guess....shopping?>,<Let me guess. Shopping?,Let me guess. Shopping?>
<Im sorry ken!i dun chat tht things 1!>,"<I'm sorry, Ken! I don't chat that thing!","I'm sorry, Ken! I don't chat that thing!>"
<Hi ranger>,<Hi Ranger.,Hi Ranger.>
<All e photos u upload already right? Whats the url to ur t sms page? I help u put a link at our homepage>,<All the photos you upload already right? What's the URL to your t SMS page? I help you to put a link at our homepage.,All the photos you upload already right? What's the URL to your t SMS page? I help you to put a link at our homepage.>
"<Dinner ah, dun want lah, later u blame me making u 'slim'.. Meet u on eve lor.>","<Dinner, don't want. Later you blame me making you slim. Meet you on evening.","Dinner, don't want. Later you blame me making you slim. Meet you on evening.>"
<Why lah?>,<Why?,Why?>
<Not yet. where to buy>,<Not yet. Where to buy?,Not yet. Where to buy?>
<Forget to pay u back for e food. Remind me when u come back.>,<Forget to pay you back for the food. Remind me when you come back.,Forget to pay you back for the food. Remind me when you come back.>
<me gd lah than u leh?>,<Am I better than you?,Am I better than you?>
<i am dying of boredom at home!i need a job!arghz!any recommendations?>,<I am dying of boredom at home! I need a job! Any recommendations?,I am dying of boredom at home! I need a job! Any recommendations?>
<We plan again next week k. Have a nice day! :)>,<We plan again next week ok? Have a nice day!,We plan again next week ok? Have a nice day!>
<Ya la... Not v weird la... Funky...>,<Yes. It's not very weird. Funky.,Yes. It's not very weird. Funky.>
<It's ok.. See you in lecture than.. Study hard!>,<It's OK. See you in lecture then. Study hard!,It's OK. See you in lecture then. Study hard!>
"<how old r u, u female or male>","<How old are you, are you female or male?","How old are you, are you female or male?>"
<eh she gave back the test papers ah. ?>,"<Er, she gave back the test papers?","Er, she gave back the test papers?>"
<I mean noe to a certain extent la. But not like ü noe me i noe ü tt sorta standard la.jx tt e things he like i interested lo.he bookworm-like fantasy.>,"<I mean know to a certain extent. But not like you know me, and I know you that sort of standard. Just that I am interested in the things he likes. He is bookworm-like fantasy.","I mean know to a certain extent. But not like you know me, and I know you that sort of standard. Just that I am interested in the things he likes. He is bookworm-like fantasy.>"
<Lea me working as assistant merchandiser at polo ralph. u? U got icq?>,<Let me work as assistant merchandiser at polo ralph. Can you? Did you get ICQ?,Let me work as assistant merchandiser at polo ralph. Can you? Did you get ICQ?>
"<Hey u called me rite, is it bcos of leona t thing? I jus called her.>","<Hey you called me right, is it because of Leona that thing? I just called her.","Hey you called me right, is it because of Leona that thing? I just called her.>"
<I going to get something...Haha kk cya>,"<I'm going to get something. Haha, ok, see you.","I'm going to get something. Haha, ok, see you.>"
"<Nope,Nothing special recently... More or less juz stayed at home n watch tv at night. I enjoy the channel ü show at 9 pm.... Had yr lunch yet?>","<Nope, nothing special recently. More or less just stayed at home and watched TV at night. I enjoy the Channel U show at 9 pm. Had your lunch yet?","Nope, nothing special recently. More or less just stayed at home and watched TV at night. I enjoy the Channel U show at 9 pm. Had your lunch yet?>"
<Yup. Going back after dinner... tmr morning waking up early to help out for rag>,<Yes. I'm going back after dinner. Tomorrow morning I will wake up early to help out for rag.,Yes. I'm going back after dinner. Tomorrow morning I will wake up early to help out for rag.>
<Ya wat... Dun have...I checked e whole tape liao..>,<You wait. I don't have. I checked the whole tape.,You wait. I don't have. I checked the whole tape.>
<My painting almost done liao. But my house outside havent start yet. Haiz....>,<My painting is almost done. But my house outside haven't started yet. Sigh.,My painting is almost done. But my house outside haven't started yet. Sigh.>
<But i'm still at home now lei... Hulk rite... Where ü wan to watch?>,<But I'm still at home now. Hulk right? Where do you want to watch?,But I'm still at home now. Hulk right? Where do you want to watch?>
<Huh ü take then how i take bus later... Inside got money a not...>,<If you take then how I take bus later? Inside got money or not?,If you take then how I take bus later? Inside got money or not?>
"<Nay, no sports car for me... gotten into lotsa accidents for my love of speed. Furthermore, it's too ex for me already. So changed to a normal car. :)>","<No, no sports car for me. I've gotten into lots of accidents for my love of speed. Furthermore, it's too expensive for me already. So I changed to a normal car.","No, no sports car for me. I've gotten into lots of accidents for my love of speed. Furthermore, it's too expensive for me already. So I changed to a normal car.>"
<No probl... Maybe next time when u r free =5>,<No problem. Maybe next time when you are free.,No problem. Maybe next time when you are free.>
<Oh... Lk tt ah... I'm ur monkey partner lor...>,<Oh. Look that. I am your monkey partner.,Oh. Look that. I am your monkey partner.>
<I can come meh... Y got free one? Fri me going 2 sch lei...>,<Can I come? Why got free one? Friday I'm going to school.,Can I come? Why got free one? Friday I'm going to school.>
<Join us@Amore Fitness Roadshow! Get a 6mth package & enjoy 2mths FREE!Goodiebags!LuckySpin! Only@Bugis Junction on 26-27 Jul'03. Call 63366822 (sent from amore)>,<Join us at Amore Fitness Roadshow! Get a six months package and enjoy two months free! Goodie bags! Luckyspin! I t is only at Bugis Junction on 26-27 July 2003. Call 63366822 (sent from amore),Join us at Amore Fitness Roadshow! Get a six months package and enjoy two months free! Goodie bags! Luckyspin! I t is only at Bugis Junction on 26-27 July 2003. Call 63366822 (sent from amore)>
<Hi darlin did you Phone me? Im at Home if you wanna chat.>,"<Hi darling, did you call me? I'm at home if you want to chat.","Hi darling, did you call me? I'm at home if you want to chat.>"
"<Hi gal, thanks for the nice testimonial.I din deserve it. Haha.R yr exams round the corner?Do ü have any time next mth to lend me your SAT stuff?>","<Hi girl, thanks for the nice testimonial. I didn't deserve it. Haha. Are your exams round the corner? Do you have any time next month to lend me your SAT stuff?","Hi girl, thanks for the nice testimonial. I didn't deserve it. Haha. Are your exams round the corner? Do you have any time next month to lend me your SAT stuff?>"
<So later 7.30 fish n co at suntec. Who cant come please say earlier.>,"<So later we can go to fish and come at Suntec at 7:30. Who cannot come, please say earlier.","So later we can go to fish and come at Suntec at 7:30. Who cannot come, please say earlier.>"
<Aiyo dis one neva mind wat... It's 4 australia one... But i wun tell them juz say ü go 4 driving oredi lor...>,"<Never mind this one. It's for Australia, but I won't tell them , I'll just say you went for driving already.","Never mind this one. It's for Australia, but I won't tell them , I'll just say you went for driving already.>"
<Hello.... How are you? Enjoying your saturday?>,<Hello. How are you? Do you enjoy your Saturday?,Hello. How are you? Do you enjoy your Saturday?>
<Of cuz la...Tell him 4 wat? Where got vet? Will it b v ex? Den yr course gd to study anot?>,<Of course. Tell him for what? Where got vet? Will it be very expensive? Then your course got to study or not?,Of course. Tell him for what? Where got vet? Will it be very expensive? Then your course got to study or not?>
<Me n my sis eatin bfast... Hee... U call me lor...>,<My sister and I are eating breakfast. You call me.,My sister and I are eating breakfast. You call me.>
<We outside emicakes...>,<We are outside Emicakes.,We are outside Emicakes.>
<So sad... I bought e opera bar got no discount... So small somemore...>,<So sad. I bought the opera bar without any discount. And it is so small.,So sad. I bought the opera bar without any discount. And it is so small.>
<W my bro but later he going out...>,"<I'm with my brother, but later he's going out.","I'm with my brother, but later he's going out.>"
"<k. i board 153,i msg u to leave hse.then i wait for u at bstop k.>","<OK. When I board at 1:53, I message you to leave house. Then I wait for you at bus stop OK?","OK. When I board at 1:53, I message you to leave house. Then I wait for you at bus stop OK?>"
<Yah... And i will be late.>,<Yeah. And I will be late.,Yeah. And I will be late.>
"<i got one here, is $78, 128mb, transcend jetflash, u want?>","<I got one here, is $78, 128MB, Transcend Jetflash, do you want?","I got one here, is $78, 128MB, Transcend Jetflash, do you want?>"
<Hey xin... U havin drivin today?>,<Hey Xin. You are having driving today?,Hey Xin. You are having driving today?>
<Morning right? What time ah. And where is lt 32>,<It's in the morning right? What time is it going to be? And where is lecture theatre 32?,It's in the morning right? What time is it going to be? And where is lecture theatre 32?>
<ANGEL u fall slp liao izit y no response frm u.i still waitin for u ok.>,"<Angel, did you fall asleep already? Why there's no response from you? I'm still waiting for you, ok?","Angel, did you fall asleep already? Why there's no response from you? I'm still waiting for you, ok?>"
"<Yupz... Okie... But u r always e bz one...Haha... K la, guess i'll cya at our class bbq den...>","<Yup. Ok. But you are always the busy one. Haha, ok, guess I'll see you at our class barbecue then.","Yup. Ok. But you are always the busy one. Haha, ok, guess I'll see you at our class barbecue then.>"
<i will be slightly late. sorry!>,<I will be slightly late. Sorry!,I will be slightly late. Sorry!>
"<Haha, next time go sailing, then jio ü lah, let ü have a good laugh at me, really quite bad at it.. So how's uni life?>","<Haha, next time go sailing, then invite you, let you have a good laugh at me, really quite bad at it. So how's university life?","Haha, next time go sailing, then invite you, let you have a good laugh at me, really quite bad at it. So how's university life?>"
<Nope...Wat mus i do to convince u i'm not int in her?Hehehe.Cuz i wanted ask u to mention ter.Hehehe then see her reaction again. :p i will not use pple.Ok?>,"<No. What must I do to convince you? I'm not interested in her. Hehe. Because I wanted ask you to mention her. Hehe, then see her reaction again. I will not use people. OK?","No. What must I do to convince you? I'm not interested in her. Hehe. Because I wanted ask you to mention her. Hehe, then see her reaction again. I will not use people. OK?>"
<Hey....I know its rude of me not to do something abt e fone.N i'm sorry it died on u.>,"<Hey, I know it's rude of me not to do something about the phone. And I'm sorry it died on you.","Hey, I know it's rude of me not to do something about the phone. And I'm sorry it died on you.>"
<Hi its Kate how is your evening? I hope  i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :)>,"<Hi, it's Kate, how is your evening? I hope I can see you tomorrow for a bit but I have something on! Text back if u can.","Hi, it's Kate, how is your evening? I hope I can see you tomorrow for a bit but I have something on! Text back if u can.>"
<Haha... I'm going to buy sandals... How to go queensway ah? Any cute hunks around? Wah. So late ah>,"<Haha. I'm going to buy sandals. How to go Queensway? Any cute hunks around? Wow, so late.","Haha. I'm going to buy sandals. How to go Queensway? Any cute hunks around? Wow, so late.>"
<Yupz... Sure... Evenin rite...>,<Yes. Sure. Evening right?,Yes. Sure. Evening right?>
"<Yah, haven chat wif ü for long time. Wanna know how ü been recently... Maybe can jio ü out after my course ends. Juz came back this afternoon from field camp.>","<Yeah, I haven't chat with you for a long time. I want to know how you have been recently. Maybe I can help you out after my course ends. I just came back this afternoon from field camp.","Yeah, I haven't chat with you for a long time. I want to know how you have been recently. Maybe I can help you out after my course ends. I just came back this afternoon from field camp.>"
<Celine or u trying msg to me? My hp is +6590957823>,<Was it Celine or you who was trying to message me? My handphone number is +6590957823.,Was it Celine or you who was trying to message me? My handphone number is +6590957823.>
"<No,cos i din get an a for gp last yr.If yr work is making ü tired,ü shld quit asap. Find a less taxing job. Ü will have more time to go out too...  :)>","<No, because I didn't get an A for GP last year. If your work is making you tired, you should quit as soon as possible. Find a less taxing job. You will have more time to go out too.","No, because I didn't get an A for GP last year. If your work is making you tired, you should quit as soon as possible. Find a less taxing job. You will have more time to go out too.>"
<Lunch>,<Lunch.,Lunch.>
"<Ya hor... U dun mind can liao, i'm ok w it...>","<Right. As long as you don't mind, I'm ok with it.","Right. As long as you don't mind, I'm ok with it.>"
<But cun lah... go next wk? Act where ü wanna go?>,<But please come. Are you going next week? Ask you where you want to go.,But please come. Are you going next week? Ask you where you want to go.>
"<Ok, then I will try to get back to u before 1200 tommorow.thank you and gud nite =)>","<OK, then I will try to get back to you before 1200 tomorrow. Thank you and have a good night.","OK, then I will try to get back to you before 1200 tomorrow. Thank you and have a good night.>"
<y study til so late? becos i took up ur daytime? i wan to do abit of my another proj first before i slp.. So not slpin yet..>,<Why do you study till so late? Because I took up your daytime? I want to do a bit of my other project first before I sleep. So I am not sleeping yet.,Why do you study till so late? Because I took up your daytime? I want to do a bit of my other project first before I sleep. So I am not sleeping yet.>
<Ok lor... I buy dinner for them now oredi...>,<Ok. I buy dinner for them now already.,Ok. I buy dinner for them now already.>
<Im not workg...Wat time junmèi aft work? I saw david ytd...>,<I'm not working. What time is Junmei after work? I saw David yesterday.,I'm not working. What time is Junmei after work? I saw David yesterday.>
<Eh where michelle studying now ah?>,<Where is Michelle studying now?,Where is Michelle studying now?>
<Ok since everyone can make it on mon. Lets make it at seven thirty Taka fountain. Is indonesian food at Sanur ok or Suntec.>,"<Ok, since everyone can make it on Monday. Let's make it at seven thirty at Taka fountain. Is Indonesian food at Sanur ok or Suntec?","Ok, since everyone can make it on Monday. Let's make it at seven thirty at Taka fountain. Is Indonesian food at Sanur ok or Suntec?>"
<Ü havent receive yet meh? I just got it today... brown envelop a lot of things>,<You haven't received it yet? I just got it today. In brown envelope with a lot of things.,You haven't received it yet? I just got it today. In brown envelope with a lot of things.>
<Hey i'm at the science canteen... near chi cooked food come find me!>,"<Hey, I'm at the Science canteen. Near the Chinese Cooked Food, come find me!","Hey, I'm at the Science canteen. Near the Chinese Cooked Food, come find me!>"
<So long never hear from you le . . . How have you been.>,<So long never hear from you. How have you been?,So long never hear from you. How have you been?>
<ard 7 .. go near ur hse there ?>,<Around 7. Go near you house there?,Around 7. Go near you house there?>
<Yup... Taken oredi... Thanx...>,<Yup. Taken already. Thanks.,Yup. Taken already. Thanks.>
<I'm comin back 4 dinner leh...>,<I'm coming back for dinner.,I'm coming back for dinner.>
<Hey. The inaug ceremony at university cultural center...>,<Hey. The inauguration ceremony is at University Cultural Center.,Hey. The inauguration ceremony is at University Cultural Center.>
<Whoa..With friends or fam?>,<Wow. With friends or family?,Wow. With friends or family?>
<Then how ü wan to go early a not... Ask her to wait at bishan then ben can fetch her but she wun wake up so early...>,<Then how? You want to go early or not? Ask her to wait at Bishan then Ben can fetch her. But she won't wake up so early.,Then how? You want to go early or not? Ask her to wait at Bishan then Ben can fetch her. But she won't wake up so early.>
"<Can i ans ù later i'm gossiping wif my fren. Oh fyi, i'm still in camp. U wun b sleepin early rite?>","<Can I answer you later? I'm gossiping with my friend. Oh for your information, I'm still in camp. You won't be sleeping early right?","Can I answer you later? I'm gossiping with my friend. Oh for your information, I'm still in camp. You won't be sleeping early right?>"
<Huh cum my hse 4 wat v messy lei...>,<Come my house for what? It's very messy.,Come my house for what? It's very messy.>
<Xian but go out also nothing 2 do.>,"<So bored, but go out also nothing to do.","So bored, but go out also nothing to do.>"
<No need. ic. Go there fill form can liao>,<No need. I see. Go there and fill form can already.,No need. I see. Go there and fill form can already.>
<Corinna say can... So i'll frame it lar>,<Corinna says can. So I'll frame it.,Corinna says can. So I'll frame it.>
<I in hall... yes?ms me ah?>,<Are you in the hall? Message me？,Are you in the hall? Message me？>
"<hi tazz, only both of us, intro pls.>","<Hi tazz, only both of us, introduce, please.","Hi tazz, only both of us, introduce, please.>"
<You study wat course?>,<What course do you study?,What course do you study?>
<My frens eatin den i'm drinkin lor...>,<My friends are eating. Then I'm drinking.,My friends are eating. Then I'm drinking.>
<Hmmm.... No la... Thk we will go n apply 4 some stuff first....>,<Hmm. No. I think we will go and apply for some stuff first.,Hmm. No. I think we will go and apply for some stuff first.>
<Die got traffic jam will reach in ard 8 min... Ü go buy newspaper...>,<Die. We got in traffic jam and will reach in around 8 minutes. You go to buy newspaper.,Die. We got in traffic jam and will reach in around 8 minutes. You go to buy newspaper.>
<Nope... I'm reaching home. Take my bag then go sch.>,<No. I'm reaching home. Take my bag and then go to school.,No. I'm reaching home. Take my bag and then go to school.>
"<I dun mind... Kaiez, set liao...haiz, u muz b slackin now, so gd...>","<I don't mind. Set. Sigh, you must be slacking now, so good.","I don't mind. Set. Sigh, you must be slacking now, so good.>"
"<Don't ask...Its for a stupid reason.Anyway,i'll just focus on being around in mainland.U can come out?>","<Don't ask. It is for a stupid reason. Anyway, I will just focus on being around in mainland. You can come out?","Don't ask. It is for a stupid reason. Anyway, I will just focus on being around in mainland. You can come out?>"
<Hey gelek! Hee enjoy ur trip tmr k! Rem ah.. Dun eat too much ah! If not u'll gain 3.5 kg! Haha no lah jus enjoy urself!>,"<Hey, Gelek! Enjoy your trip tomorrow okay! Remember, don't eat too much. If not you'll gain 3.5kg! Haha, no, just enjoy yourself.","Hey, Gelek! Enjoy your trip tomorrow okay! Remember, don't eat too much. If not you'll gain 3.5kg! Haha, no, just enjoy yourself.>"
<everything. i think ard 180 to 200. the detail discuss wif the aprent. so he interested?>,<Everything. I think around 180 to 200. The details will be discussed with the parent. So is he interested?,Everything. I think around 180 to 200. The details will be discussed with the parent. So is he interested?>
"<Izit... Den i muz go look ard liao...U interested to change jobs too... Haha, den can go look ard together...>","<Is it? Then I must go and look around. You are interested to change jobs too? Haha, then can go look around together.","Is it? Then I must go and look around. You are interested to change jobs too? Haha, then can go look around together.>"
"<Hey my email is whackers33@hotmail.com. Haha, know this reply is darn late, forgot all abt it till now. Oh anyway ü wanna catch a show this afternoon say 3 plus>","<Hi, my email is whackers33@hotmail.com. Haha, I know this reply is darn late, forgot all about it till now. Anyway, you want to catch a show this afternoon, say 3 plus?","Hi, my email is whackers33@hotmail.com. Haha, I know this reply is darn late, forgot all about it till now. Anyway, you want to catch a show this afternoon, say 3 plus?>"
"<okie tink meet up again then,paiseh leh.>","<Ok, think meeting up again then, embarrassing.","Ok, think meeting up again then, embarrassing.>"
<I in LT 24..Get frm u tut 8 later..>,<I'm in LT24. Will get from you tutorial 8 later.,I'm in LT24. Will get from you tutorial 8 later.>
<Anyone has a cultural or ethnic top i can borrow?>,<Anyone has a cultural or ethnic top I can borrow?,Anyone has a cultural or ethnic top I can borrow?>
<What are u doing tonight.Go Geylang eat.>,<What are you doing tonight? Go Geylang eat.,What are you doing tonight? Go Geylang eat.>
"<No wat, where got ugly... Aiyo, smebody so vain ah...Only saw one pic tt's u alone, e rest is gp foto liao...>","<Know what, where got ugly. Somebody is so vain. Only saw one picture that's you alone, the rest is group photo.","Know what, where got ugly. Somebody is so vain. Only saw one picture that's you alone, the rest is group photo.>"
<Hmmm... On mon can... Cos my other fren oso comin to my hse on mon... Gee...>,"<On monday I can, because my other friend is also coming to my house on Monday.","On monday I can, because my other friend is also coming to my house on Monday.>"
"<U pay oredi... Den mine must b 35 lor... Mine still do a lot of thgs, haha...>",<Have you paid already? Then mine must be 35. Mine still did a lot of things. Haha.,Have you paid already? Then mine must be 35. Mine still did a lot of things. Haha.>
<Yun! You coming to find me later? I havent ballot for my eng mod yet... Haiyoh.>,<Yun! Are you coming to find me later? I haven't ballot for my English module yet. Sigh.,Yun! Are you coming to find me later? I haven't ballot for my English module yet. Sigh.>
<Did u have a gd rest my dear?>,<Did you have a good rest my dear?,Did you have a good rest my dear?>
<hello s56! its being sometime huh... Tonite free? Club @S.O.S.... REPLY!>,<Hello s56! It's been some time. Are you free tonight? Come to club at S.O.S. Reply!,Hello s56! It's been some time. Are you free tonight? Come to club at S.O.S. Reply!>
<I found it liao lar... Ü finish ur lesson liao ar...>,<I found it. Have you finished your lesson?,I found it. Have you finished your lesson?>
<im watchin smallville.. dozin off.. dun think im goin to study tonite.. u studyin now ah?>,<I'm watching Smallville. I'm dozing off. I don't think I'm going to study tonight. Are you studying now?,I'm watching Smallville. I'm dozing off. I don't think I'm going to study tonight. Are you studying now?>
<You got do the economics aspect of fusion?>,<Did you do the economics aspect of fusion?,Did you do the economics aspect of fusion?>
<Hmmm... I'm out w my fren today... Y?>,<I'm out with my friend today. Why?,I'm out with my friend today. Why?>
<Hey are you all free to meet on sunday afternoon or mon night...am leaving next week. Elaine>,"<Hey, are you all free to meet on Sunday afternoon or Monday night? I am leaving next week. Elaine.","Hey, are you all free to meet on Sunday afternoon or Monday night? I am leaving next week. Elaine.>"
<Crown so late still got open... Y dun buy liao lei...>,<Crown so late still got open. You don't buy.,Crown so late still got open. You don't buy.>
"<Yupz... I'm goin... Shld b able to rent la, if they r available there...>","<Yes. I'm going. They should be able to rent, if they are available there.","Yes. I'm going. They should be able to rent, if they are available there.>"
<U all confirm at good wood park...>,<You all confirm it is at Good Wood Park?,You all confirm it is at Good Wood Park?>
<Hey... How r u? Din contact u 4 quite some time...>,<Hey. How are you? Didn't contact you for quite some time.,Hey. How are you? Didn't contact you for quite some time.>
<Yar lor in soc face muz be v thick one...>,<In soc face must be very thick.,In soc face must be very thick.>
<Okie okie.. I'll update u bout e situation another day then.. Hee>,<OK OK. I'll update you about the situation another day then. Hee.,OK OK. I'll update you about the situation another day then. Hee.>
"<No nd me to intro someone oso got lotsa admirer liao wat... K la, thurs no changes liao ah...>","<No need for me to introduce. Someone also got lots of admirer. Ok, Thursday no changes.","No need for me to introduce. Someone also got lots of admirer. Ok, Thursday no changes.>"
"<Konichiwa, how r u? wat r u doing?>","<Good afternoon, how are you? What are you doing?","Good afternoon, how are you? What are you doing?>"
<Hey come online? We discuss eng with regina>,<Can you come online? We shall discuss Eng with Regina.,Can you come online? We shall discuss Eng with Regina.>
<Happy Valentine's Day... May this day of yours be blessed with happiness n laughter... Good day ahead.>,<Happy Valentine's Day. May this day of yours be blessed with happiness and laughter. Good day ahead.,Happy Valentine's Day. May this day of yours be blessed with happiness and laughter. Good day ahead.>
<U go chop seats in e canteen b4 2 ok... Den i come out can eat oredi...>,<You occupy seats in the canteen before 2. Then I come out can eat already.,You occupy seats in the canteen before 2. Then I come out can eat already.>
<Kid's shop selling clothes izit...>,"<Kid's shop is selling clothes, is it?","Kid's shop is selling clothes, is it?>"
<Anybody wants to go shopping tmr ?>,<Anybody wants to go shopping tomorrow?,Anybody wants to go shopping tomorrow?>
"<We din do much, cept i treated them to a movie.Me meeting menghong for dinner n then we r going to see a squash fren of ours at causeway pt.Had yr dinner yet?>","<We didn't do much, except I treated them to a movie. I am meeting Menghong for dinner and then we are going to see a squash friend of ours at Causeway Point. Had your dinner yet?","We didn't do much, except I treated them to a movie. I am meeting Menghong for dinner and then we are going to see a squash friend of ours at Causeway Point. Had your dinner yet?>"
<Juz now his qn i reply liao...  So ü asking him? If ask oredi then tell me...>,<Just now I replied his questions. So are you asking him? If you have asked already then tell me.,Just now I replied his questions. So are you asking him? If you have asked already then tell me.>
<I walked an hour 2 c u! doesn't that show I care y wont u believe im serious?>,"<I walked an hour to see you! Doesn't that show I care, why won't you believe I am serious?","I walked an hour to see you! Doesn't that show I care, why won't you believe I am serious?>"
<Den tmr ur fetchin me 4 lunch huh?>,<Then tomorrow you are fetching me for lunch?,Then tomorrow you are fetching me for lunch?>
<Dan 4gt it.u dun wan 2 intro n i jus follow suit.>,"<Dan, forget it. You don't want to introduce and I just follow suit.","Dan, forget it. You don't want to introduce and I just follow suit.>"
<Of cos e one in my toilet la... Tt one den correct wat..>,<Of course the one in my toilet. That one then correct.,Of course the one in my toilet. That one then correct.>
"<Haha... True la, spore got nothin to do one....thk u will end up watchin movie...>",<It's true. Spore got nothing to do one. I think you will end up watching movie.,It's true. Spore got nothing to do one. I think you will end up watching movie.>
<Orhz ü mean the linear algebra is it? Haha... Thought ü talking abt cz... My lesson jus end... Where ü?>,<Oh you mean the linear algebra is it? Haha. Thought you are talking about cz. My lesson just end. Where are you?,Oh you mean the linear algebra is it? Haha. Thought you are talking about cz. My lesson just end. Where are you?>
"<Its ok. Hi ranger u m or f? Workg? Age? Its ok iregardles wht u r, ok. We r frens, right? Tell me more, ok.>","<It's ok. Hi, ranger you male or female? Working? Age? It's okay irregardless what you are, okay. We are friends, right? Tell me more, okay.","It's ok. Hi, ranger you male or female? Working? Age? It's okay irregardless what you are, okay. We are friends, right? Tell me more, okay.>"
"<1-15pm ,reached about 5pm>",<1:15pm. Reached at about 5pm.,1:15pm. Reached at about 5pm.>
<yupz...if u cant den i help u collect lor...>,"<Yes, if you can't then I'll help you to collect.","Yes, if you can't then I'll help you to collect.>"
<Hey.... Tmr you wanna meet at 10am or meet after lunch then we dont go for the free abt in the morning?>,<Hey. Tomorrow you want to meet at 10am or meet after lunch then we don't go for the free about in the morning?,Hey. Tomorrow you want to meet at 10am or meet after lunch then we don't go for the free about in the morning?>
"<K.wad time?meet at ecp ah?or parkway or wads?btw,who else goin?>","<Ok. What time? Meet at East Coast Park? Parkway or what? By the way, who else is going?","Ok. What time? Meet at East Coast Park? Parkway or what? By the way, who else is going?>"
"<Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also bought""braindance""a comp.ofstuff on aphex's ;abel,u hav2hear it!c u sn>","<Yes. Why not?! Listened to the Plaid album, quite good. And the new girl is hilarious. I have bought ""Braindance"", a compilation of stuff on Aphex's label, you have to hear it! See you soon.","Yes. Why not?! Listened to the Plaid album, quite good. And the new girl is hilarious. I have bought ""Braindance"", a compilation of stuff on Aphex's label, you have to hear it! See you soon.>"
<Vet! Wad offer?!  engineerin wil need maths ñ phy. Revise english lo-cos sure got tis subject.haha->,"<Vet! What offer?! Engineering will need Mathematics and Physics. Revise English, because sure got this subject. Haha.","Vet! What offer?! Engineering will need Mathematics and Physics. Revise English, because sure got this subject. Haha.>"
<Thank u. IT BETTER WORK OUT CAUSE I WILL FEEL USED OTHERWISE>,<Thank you. It'd better work out because I will feel used otherwise.,Thank you. It'd better work out because I will feel used otherwise.>
<Hey got space for one more seat?>,"<Hey, is there any space for one more seat?","Hey, is there any space for one more seat?>"
<Hi! guys n grls somebdy wan 2 chat with me..>,"<Hi! Guys and girls, somebody want to chat with me?","Hi! Guys and girls, somebody want to chat with me?>"
<Be at home to stay with mother more please.>,<Be at home to stay with mother more please.,Be at home to stay with mother more please.>
<Wot is u up 2 then bitch?>,"<What are you up to then, bitch?","What are you up to then, bitch?>"
"<No la... I'll only take those tt nd me 4 one or 2 days lor... C first, mayb i'll go b a waitress...>","<No. I'll only take those that need me for one or 2 days. See first, maybe I'll go and be a waitress.","No. I'll only take those that need me for one or 2 days. See first, maybe I'll go and be a waitress.>"
<just for drinks only..no dance..how abt it?we'll leave by1?>,<Just for drinks only. No dance. How about it? We'll leave by 1?,Just for drinks only. No dance. How about it? We'll leave by 1?>
<Harlow. Hws ur wk end?>,<Hello. How's your week end?,Hello. How's your week end?>
"<simon, cut the idols some slack - they are juz kids with a dream!>","<Simon, cut the idols some slack - they are just kids with a dream!","Simon, cut the idols some slack - they are just kids with a dream!>"
<Haha cant help much.>,<Haha can't help much.,Haha can't help much.>
<They login thru wat?>,<They login through what?,They login through what?>
<Hmmm... Can only make it from evenin onwards....>,<Hm. I can only make it from evening onwards.,Hm. I can only make it from evening onwards.>
<Eh not meetg le...Other days den meet k. Jun goin home le...>,<Eh not meeting. Other days then meet. Jun is going home.,Eh not meeting. Other days then meet. Jun is going home.>
<Yup can see millian! No need sq table lor. What time?>,"<Yup, can see Millian! You don't need square table. What time?","Yup, can see Millian! You don't need square table. What time?>"
<Can you come online?>,<Can you come online?,Can you come online?>
"<Oh... I juz checked n realize my lesson is at 440...Haha, tt means i'll cya den...>","<Oh. I just checked and realize my lesson is at 4:40. Haha, that means I'll see you then.","Oh. I just checked and realize my lesson is at 4:40. Haha, that means I'll see you then.>"
"<hey,how have ya been lately? Great i hope! I've been busy working out,working ñ studying my ass off!-smiles->","<Hey, how have you been lately? Great I hope! I've been busy working out, working and studying my ass off!","Hey, how have you been lately? Great I hope! I've been busy working out, working and studying my ass off!>"
<Ic... I tot u go wif xf... Hee... Joking lar...>,<I see. I thought you go with XF. Joking.,I see. I thought you go with XF. Joking.>
<Hmm.....seems lk ur playin hard 2 gt type....hehe..:p>,<Hmm. Seems like you are playing hard-to-get type. Hehe.,Hmm. Seems like you are playing hard-to-get type. Hehe.>
<Nope i'm watching tv at home. How come u bored dun u haf things 2 do in office?>,"<Nope, I'm watching TV at home. How come you are bored? Don't you have things to do in office?","Nope, I'm watching TV at home. How come you are bored? Don't you have things to do in office?>"
